query,mode,rank,doc_key,score,latency_ms,unique_sources,margin_top1_top2,gap_top1_topk,context_chars,relevance_score,groundedness_score,completeness_score
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",vector,1,"A2013-18.pdf|244-244",0.72375405,587,4,0.0021159500000000886,0.005113750000000028,7523,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",vector,2,"A2013-18.pdf|143-143",0.7216381,587,4,0.0021159500000000886,0.005113750000000028,7523,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",vector,3,"A2009-06.pdf|18-18",0.721435,587,4,0.0021159500000000886,0.005113750000000028,7523,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",vector,4,"A2016-31.pdf|71-71",0.71943235,587,4,0.0021159500000000886,0.005113750000000028,7523,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",vector,5,"penal_code.pdf|103-103",0.7186403,587,4,0.0021159500000000886,0.005113750000000028,7523,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",pageIndex,1,"A2009-06.pdf|34-34",17.054027893310206,57,3,0.9148138672012784,3.0702786268444395,7591,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",pageIndex,2,"A2009-06.pdf|14-14",16.139214026108927,57,3,0.9148138672012784,3.0702786268444395,7591,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",pageIndex,3,"A2009-06.pdf|1-2",15.315214372457037,57,3,0.9148138672012784,3.0702786268444395,7591,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",pageIndex,4,"the_code_of_civil_procedure,_1908.pdf|176-176",14.02548427822968,57,3,0.9148138672012784,3.0702786268444395,7591,,,
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",pageIndex,5,"2006___47.pdf|28-28",13.983749266465766,57,3,0.9148138672012784,3.0702786268444395,7591,,,
